metric_i,metric_j,pearson,spearman
nis_mean,nis_mean,1.0000,1.0000
nis_mean,nis_ks_pvalue,-0.1351,0.4909
nis_mean,sod_mean,0.9907,0.6485
nis_mean,sod_ks_pvalue,-0.2491,-0.0667
nis_mean,mean_phi,-0.0246,-0.1030
nis_mean,anomaly_rate,0.1020,0.2492
nis_mean,mean_mse,0.5300,0.2651
nis_mean,mean_ncc,-0.5180,-0.3556
nis_mean,pos_drift_vs_gt,0.4764,0.3297
nis_mean,ori_drift_vs_gt,0.4289,0.3297
nis_ks_pvalue,nis_mean,-0.1351,0.4909
nis_ks_pvalue,nis_ks_pvalue,1.0000,1.0000
nis_ks_pvalue,sod_mean,-0.1760,0.1879
nis_ks_pvalue,sod_ks_pvalue,-0.0414,0.3939
nis_ks_pvalue,mean_phi,-0.1621,-0.1515
nis_ks_pvalue,anomaly_rate,0.6094,0.4012
nis_ks_pvalue,mean_mse,-0.3357,-0.1099
nis_ks_pvalue,mean_ncc,0.3371,0.0582
nis_ks_pvalue,pos_drift_vs_gt,-0.2158,-0.0323
nis_ks_pvalue,ori_drift_vs_gt,-0.2185,-0.0323
sod_mean,nis_mean,0.9907,0.6485
sod_mean,nis_ks_pvalue,-0.1760,0.1879
sod_mean,sod_mean,1.0000,1.0000
sod_mean,sod_ks_pvalue,-0.2109,0.1636
sod_mean,mean_phi,-0.0751,-0.5273
sod_mean,anomaly_rate,0.0694,0.3283
sod_mean,mean_mse,0.6163,0.8728
sod_mean,mean_ncc,-0.6064,-0.9116
sod_mean,pos_drift_vs_gt,0.5677,0.8857
sod_mean,ori_drift_vs_gt,0.5204,0.8857
sod_ks_pvalue,nis_mean,-0.2491,-0.0667
sod_ks_pvalue,nis_ks_pvalue,-0.0414,0.3939
sod_ks_pvalue,sod_mean,-0.2109,0.1636
sod_ks_pvalue,sod_ks_pvalue,1.0000,1.0000
sod_ks_pvalue,mean_phi,-0.5138,-0.7455
sod_ks_pvalue,anomaly_rate,0.1708,0.4012
sod_ks_pvalue,mean_mse,0.1330,0.0711
sod_ks_pvalue,mean_ncc,-0.1430,-0.0323
sod_ks_pvalue,pos_drift_vs_gt,-0.2018,0.1616
sod_ks_pvalue,ori_drift_vs_gt,-0.2566,0.1616
mean_phi,nis_mean,-0.0246,-0.1030
