sigma,filter,pos_rmse,ori_rmse,mean_nis,frac_in_CI,ks_pvalue,drop_rate
0,raw,0.018563185787889437,0.2610537244488252,nan,nan,nan,0.0
0,ekf_cart,0.018684024475347775,0.2634428531848428,2.0504364705562623,0.2483221476510067,0.0,0.0
0,riekf,0.01890166126298607,0.2641885406402014,4.055532499310004,0.2959731543624161,0.0,0.0
5,raw,0.01916481217754557,0.41534504788196536,nan,nan,nan,0.0
5,ekf_cart,0.01994289509820898,0.41689322580847027,1.3417884499194148,0.27818791946308724,0.0,0.0
5,riekf,0.020396852227190246,0.4174918677047462,1.9877547805803817,0.33355704697986577,0.0,0.0
10,raw,0.018582672396135955,0.2623678527154569,nan,nan,nan,0.0
10,ekf_cart,0.02043601676196696,0.2646440716748196,1.535660479432349,0.32114093959731543,0.0,0.0
10,riekf,0.021394084443969074,0.2654119959832929,2.0683268545355378,0.38154362416107385,0.0,0.0
20,raw,0.018560673614767303,0.2613844313586873,nan,nan,nan,0.0
20,ekf_cart,0.022574275834848747,0.2634950885655516,1.597638507841662,0.4197986577181208,0.0,0.0
20,riekf,0.02444512646814915,0.26418684837094686,2.057027808495727,0.4697986577181208,0.0,0.0
