sigma,filter,pos_rmse,ori_rmse,mean_nis,frac_in_CI,ks_pvalue,drop_rate
0,raw,1.429508051443667e-07,0.022259551596578983,nan,nan,nan,0.0
0,ekf_cart,1.4295071529751314e-07,0.011434375876958567,3.012588484607834,0.7161073825503356,7.092473529806098e-306,0.0
0,riekf,0.0026172382862770303,0.012677271157510092,212.34670875353876,0.17348993288590603,0.0,0.0
5,raw,0.011615795745730566,0.021743073049358536,nan,nan,nan,0.0
5,ekf_cart,0.006669504575067081,0.0117700067102731,2.9714267778631043,0.9466442953020134,0.07901085439928912,0.0
5,riekf,0.006926062088762947,0.011711904518480285,3.3625309423631937,0.9275167785234899,2.696901069964104e-05,0.0
10,raw,0.023014608741340536,0.022389238072552282,nan,nan,nan,0.0
10,ekf_cart,0.011537000736291414,0.011370183348886745,3.0344149681759482,0.951006711409396,0.789272451932016,0.0
10,riekf,0.011909470128881163,0.010898453713945964,3.221084190907223,0.9422818791946309,0.00019851844084693772,0.0
20,raw,0.04588079021192743,0.022967503447505606,nan,nan,nan,0.0
20,ekf_cart,0.020604479484568835,0.01134919943389193,3.067671761628383,0.9442953020134228,0.4923230318156735,0.0
20,riekf,0.021279860345962888,0.010664142330217176,3.1708150936791473,0.9442953020134228,0.030020234972630955,0.0
